element_global_id	reference_id
683300	757835
683310	181797
683310	181950
683310	184460
683310	193753
683310	196391
683310	200873
683310	342646
683310	478087
683310	671234
683418	181963
683418	182841
683418	190454
683418	190544
683418	196361
683418	199046
683418	620627
683418	659459
683418	667321
683418	667329
683418	667764
683418	943946
683526	181492
683526	187652
683526	197401
683526	201394
683526	668151
683526	753426
683526	753427
683526	753442
683526	753500
683526	753554
683526	753693
683526	753902
683526	753903
683526	754122
683526	757892
683526	757897
683280	178732
683280	181492
683280	181910
683280	181932
683280	182520
683280	182970
683280	192893
683280	194106
683280	194141
683280	194649
683280	194660
683280	194804
683280	200347
683280	200633
683590	181797
683590	181852
683590	181873
683590	184460
683590	187771
683590	440948
683590	671238
683593	176315
683593	178892
683593	179357
683593	181492
683593	182970
683593	183474
683561	181797
683561	181852
683561	181873
683561	185460
683561	187363
683561	194563
683561	195840
683561	198680
683561	464506
683561	469340
683561	469361
683561	469362
683561	503960
683561	504953
683561	504954
683561	667678
683561	674065
683561	711645
683561	722626
683561	722627
683561	830016
683429	175696
683429	178332
683429	180462
683429	180543
683429	181345
683429	181797
683429	181802
683429	182304
683429	182848
683429	184460
683429	185107
683429	187315
683429	190298
683429	193079
683429	195450
683429	195491
683429	196830
683429	199752
683429	200235
683429	200873
683429	235914
683429	294077
683429	340416
683429	342646
683429	379746
683429	464500
683429	478087
683429	659456
683429	659469
683535	180848
683535	181763
683535	181797
683535	184191
683535	184460
683535	186283
683535	186722
683535	188166
683535	197586
683535	200873
683535	215407
683535	266480
683535	342646
683535	342651
683535	503093
683535	659455
683535	659456
683535	659469
683535	671251
683160	181492
683199	179068
683199	181797
683199	182326
683199	184460
683199	185530
683199	193529
683199	194894
683199	197636
683199	197746
683199	200873
683199	201539
683199	646797
683199	650542
683199	659447
683199	671254
683199	671262
683199	757835
683199	820424
683199	820428
683093	181492
683093	182803
683093	641997
683093	678746
683094	179923
683094	180787
683094	181171
683094	182827
683094	190465
683094	190544
683094	191341
683094	192127
683094	195278
683094	195450
683094	199046
683094	199222
683094	201836
683094	645800
684153	175440
684153	178658
684153	178774
684153	181910
684153	182822
684153	182827
684153	190544
684153	195039
684153	199046
684153	199222
684153	645800
684153	667764
684155	178774
684155	178951
684155	182792
684155	182795
684155	182818
684155	182826
684155	190544
684155	198291
684155	199046
684155	199164
684155	200819
684155	374772
684155	620605
684155	620627
684155	650154
684155	659459
684155	667764
684155	943946
684580	175855
684580	181797
684580	181852
684580	181873
684580	182591
684580	183775
684580	184460
684580	184790
684580	184862
684580	187001
684580	187771
684580	192649
684580	196788
684580	505300
684580	505313
683930	182798
683930	190544
683930	199046
684341	181797
684341	185610
684341	473037
684341	646797
684341	722172
684344	177053
684344	180462
684344	181797
684344	181852
684344	181873
684344	184460
684344	185021
684344	190298
684344	195450
684344	195491
684344	200235
684344	200873
684344	294077
684344	340416
684344	342646
684344	342651
684344	464500
684344	478087
684344	503093
684344	659455
684232	175653
684232	181797
684232	181852
684232	181873
684232	183170
684232	185492
684232	464506
684236	181797
684236	646797
684236	667303
684236	671239
684237	181797
684237	646797
684237	667303
684446	177203
684446	179772
684446	180385
684446	181492
684446	181932
684446	182445
684446	182520
684446	182798
684446	182970
684446	187091
684446	187165
684446	189275
684446	191434
684446	193759
684446	194609
684446	196111
684446	199046
684446	478087
684446	657115
684446	657116
684446	657120
684446	671245
684446	671247
684117	181492
684117	181726
684117	184680
684117	185782
684119	181060
684119	181492
684119	645700
683752	181797
683752	181873
683752	194563
683752	464506
683752	662599
683756	180445
683756	181797
683756	184460
683756	186807
683756	187315
683756	187771
683756	194646
683756	199465
683756	200873
683756	478087
683756	671234
683758	182799
683758	190544
683758	195311
683758	199046
683758	200406
683758	620605
683796	181797
683796	184460
683796	190602
683062	176034
683062	181492
683062	182970
683062	190495
683206	175798
683206	178774
683206	182827
683206	190467
683206	190544
683206	193271
683206	199046
683206	199222
683206	645800
683206	650154
683206	667764
683507	176721
683507	181797
683507	181950
683507	184460
683507	200873
683507	478087
789802	181797
789802	194894
789802	200385
789802	469514
789802	646797
683744	181797
683744	181852
683744	184460
683744	189375
683644	178757
683644	181797
683644	181852
683644	181873
683644	184460
683644	187771
683644	189582
683644	192702
683644	200273
683855	177076
683855	181797
683855	184460
683855	193439
683855	342646
683242	175653
683242	181797
683242	181852
683242	181873
683242	344658
683242	645576
683648	176014
683648	181797
683648	181852
683648	181873
683648	184460
683648	193115
683648	194666
683648	194894
683648	196347
683648	199829
683648	344658
683648	463797
683648	469336
683648	506839
683648	645576
683065	181797
683065	184460
683065	192632
683065	195890
683065	478087
683774	176331
683774	181797
683774	182970
683774	184460
683774	194763
683070	179190
683070	181797
683070	181873
683070	183144
683070	184460
683070	189375
683070	190605
683070	194350
683875	181797
683875	181873
683875	194563
683448	178990
683448	179532
683448	181797
683448	184201
683448	184460
683448	187315
683448	189355
683448	190602
683362	180385
683362	181492
683362	181932
683362	181948
683362	193759
683362	198399
683362	707491
683973	176663
683973	179815
683973	181492
683973	182647
683973	182803
683973	182970
683973	184047
683973	184170
683973	185627
683973	186895
683973	186954
683973	187658
683973	188031
683973	188368
683973	189943
683973	191024
683973	192515
683973	193877
683973	194773
683973	195433
683973	195525
683973	196203
683973	196544
683973	197818
683973	198166
683973	198964
683973	199621
683973	200332
683973	477774
683973	619562
683973	624189
683973	641997
683973	642344
683973	645764
683973	667970
683973	668107
683973	668151
683973	671244
683973	957846
684002	181797
684002	182143
684002	185610
684002	473037
684002	646797
684002	722172
684147	181492
684147	182647
683891	178990
683891	181797
683891	184201
683891	184460
683891	187315
683891	189301
683891	190602
683891	196057
683219	176315
683219	181492
683221	177633
683221	181797
683221	184460
684009	181797
684009	184460
684009	201679
684014	177606
684014	178990
684014	181797
684014	184201
684014	184460
684014	189301
684014	196057
684014	667322
684014	671345
684014	707494
683256	181492
683256	182970
683492	181797
683492	510185
683492	671250
683492	671253
683492	752574
683492	757835
683497	181492
683497	182306
683497	191491
683497	198377
684186	181797
684186	182970
684186	184460
684186	190387
684186	198786
684186	645765
684555	180848
684555	181797
684555	184460
684555	195890
684555	478087
683943	175461
683943	175855
683943	179273
683943	181535
683943	181797
683943	184460
683943	196788
683943	342651
683943	659455
683836	178630
683836	180445
683836	181797
683836	183137
683836	183636
683836	186071
683836	187107
683836	190441
683836	193439
683836	196391
683836	201539
683836	321625
683836	478087
683836	650541
683836	650542
683836	659456
683836	667322
683836	671254
683836	707494
683836	820424
683836	820428
683838	181797
683838	185610
683838	473037
683838	646797
683838	722172
683839	181492
683839	182970
684768	181492
684768	187021
684768	641997
684768	678069
684637	176316
684637	181797
684637	184460
684637	193506
684637	195220
684637	195902
684637	200873
684637	659456
685014	177346
685014	181797
685014	181852
685014	183626
685014	184460
685014	463797
684907	181492
684907	181910
684907	199872
684907	201059
684907	668151
684907	671217
685131	181797
685131	321625
684863	181797
684863	185675
684863	200054
684863	671243
684993	182799
684993	182822
684993	190544
684993	192267
684993	199046
684993	620605
684993	645540
684993	656662
683811	178774
683811	190544
683811	199046
683811	199164
683811	620627
683811	645701
683811	646784
683811	667326
683811	667764
683811	943946
683952	178277
683952	181060
683952	181503
683952	181779
683952	182314
683952	182795
683952	183096
683952	187435
683952	190544
683952	193467
683952	199046
683952	199963
683952	620605
683952	645700
683952	668165
683952	668192
683952	671244
683952	678069
683952	707496
683952	707498
683952	707500
683952	756930
684205	175630
684205	175654
684205	175696
684205	175780
684205	176089
684205	176345
684205	176646
684205	178160
684205	178332
684205	178504
684205	178841
684205	179511
684205	179924
684205	180145
