element_global_id	obsoletename	obsoletenote	obsoletedate	obsoleteauthority
689973	<i>Quercus alba - Carya alba / Symplocos tinctoria / Mitchella repens</i> Forest	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
684485	<i>Quercus alba - Carya alba / Chasmanthium sessiliflorum</i> West Gulf Coastal Plain Forest	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
687118	<i>Festuca roemeri - Cerastium arvense - Koeleria macrantha</i> Grassland	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
836893	<i>Arctostaphylos</i> spp. / <i>Festuca roemeri - Danthonia californica</i> Shrubland &amp; Grassland Group	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
932832	<i>Quercus sadleriana - Lithocarpus densiflorus var. echinoides</i> Shrubland Alliance	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
688695	<i>Pseudotsuga menziesii / Lithocarpus densiflorus / Gaultheria shallon</i> Forest	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
683466	<i>Pseudotsuga menziesii / Lithocarpus densiflorus / Vaccinium uliginosum</i> Forest	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
684032	<i>Pinus monticola - Pseudotsuga menziesii / Quercus vacciniifolia - Lithocarpus densiflorus</i> Woodland	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
689459	<i>Pinus palustris - Pinus echinata - Quercus prinus / Kalmia latifolia - Rhododendron minus</i> Woodland	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
798678	<i>Quercus prinus - Pinus echinata / Vaccinium pallidum</i> Piedmont Monadnock Forest	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
683611	<i>Quercus prinus - Quercus stellata - Carya glabra / Vaccinium arboreum - Viburnum rufidulum</i> Forest	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
690009	<i>Pinus echinata - Quercus prinus - Quercus (coccinea, velutina)</i> Forest	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
