element_global_id	usfs_ecoregion_id	d_occurrence_status_id
683252	10213	1
683252	10284	1
683252	10069	1
683253	105	1
683253	104	1
683253	103	1
683253	126	1
683253	1042	1
683253	1162	1
683253	1010	1
683253	1049	1
683253	1121	2
683253	1023	3
683253	1126	1
683253	10166	1
683256	1011	1
683256	1035	1
683257	115	1
683257	1021	1
683258	133	1
683258	117	1
683258	1155	1
683258	1106	1
683258	1129	1
683260	133	1
683261	129	1
683261	1070	1
683219	1038	1
683219	1144	1
683220	1162	1
683221	135	3
683221	1088	3
683222	135	1
683222	1060	1
683223	128	1
683223	110	1
683223	105	1
683223	1010	1
683223	1087	1
683223	10306	1
683224	1100	1
683224	10081	1
683226	137	1
683226	1060	1
683227	105	1
683227	103	1
683227	123	1
683227	128	1
683227	1094	3
683227	1023	2
683227	1118	3
683227	1150	1
683227	1102	1
683227	1073	1
683227	1050	1
683227	1087	1
683227	1151	1
683227	10126	1
683227	10331	1
683227	10305	1
683229	1023	1
683230	1058	1
683231	1058	1
683536	117	1
683536	120	1
683536	1033	1
683536	1039	1
683536	1027	1
683538	120	1
683538	1107	2
683538	1014	2
683538	1136	2
683538	1172	2
683539	103	1
683539	115	1
683539	1053	1
683539	1157	1
683539	1112	1
683539	1110	1
683539	1143	1
683539	1021	1
683539	1015	1
683539	1071	1
683539	10034	1
683539	10092	2
683539	10474	3
683539	10421	2
683539	10404	2
683539	10401	2
683539	10334	2
683539	10283	1
683539	10277	1
683539	10234	1
683539	10088	2
683539	10037	1
683539	10026	1
683539	10371	1
683539	10029	1
683539	10179	1
683540	128	1
683369	10363	1
683370	137	3
683370	1088	1
683371	1073	1
683188	115	1
683188	134	1
683188	103	1
683188	123	1
683188	1158	1
683188	1150	1
683188	1118	1
683188	1094	1
683188	1142	1
683188	1092	1
683188	1109	1
683188	1113	1
683188	1090	1
683188	1026	1
683188	1148	1
683188	1019	1
683188	1057	1
683188	1075	1
683188	1164	1
683188	10276	1
683188	10468	1
683188	10315	1
683188	10441	1
683188	10175	2
683188	10138	1
683188	10024	1
683188	10268	1
683188	10083	1
683188	10082	1
683188	10053	1
683188	10224	2
683188	10025	1
683188	10051	1
683188	10220	1
683188	10291	1
683188	10153	1
683188	10173	1
683188	10222	1
683190	122	1
683190	1093	1
683191	104	1
683191	1073	1
683191	1094	1
683191	1008	1
683191	10136	1
683191	10348	1
683191	10084	1
683191	10359	1
683263	122	1
683263	1063	1
683263	1043	1
683264	135	1
683417	122	1
683417	1095	1
683417	1124	1
683418	115	1
683418	1074	1
683418	1081	1
683418	10059	1
683418	10092	2
683418	10277	2
683418	10334	3
683418	10007	1
683418	10396	3
683418	10414	3
683418	10377	3
683419	128	1
683419	1019	1
683421	127	1
683422	120	1
683424	111	1
683424	1175	1
683425	109	1
683425	111	1
683425	1024	1
683426	118	1
683427	118	1
683427	1176	1
683428	1106	1
683399	135	1
683399	1088	1
683401	112	1
683401	1170	1
683403	137	1
683403	1088	1
683403	1009	1
683404	122	1
683404	1069	1
683404	1168	1
683405	125	1
683405	1068	1
683407	105	1
683408	1051	1
683409	124	1
683409	127	1
683409	1054	1
683409	1132	1
683371	10336	1
683373	124	1
683373	1058	1
683374	117	1
683374	114	1
683374	135	1
683374	116	1
683374	125	1
683374	113	1
683374	120	1
683374	118	1
683374	119	1
683374	1098	1
683374	1072	3
683374	1039	1
683374	1116	1
683374	1032	1
683374	1003	1
683374	1147	1
683374	1131	1
683374	1044	1
683374	1048	1
683374	1172	1
683374	1046	1
683374	1088	1
683374	1165	1
683374	1091	1
683374	1139	1
683374	1176	1
683375	1007	2
683375	1047	1
683377	120	1
683377	1046	1
683378	124	1
683378	1145	1
683378	1132	1
683379	1131	1
683381	120	1
683381	117	1
683381	119	1
683381	1047	2
683381	1131	1
683191	10317	1
683191	10395	2
683191	10274	1
683191	10411	3
683191	10086	1
683191	10316	1
683192	105	1
683192	1151	1
683192	10070	1
683193	114	1
683193	1147	1
683195	122	1
683195	1047	1
683195	1115	1
683195	1093	1
683199	124	1
683199	120	1
683199	122	1
683199	1115	1
683199	1093	1
683199	1147	1
683199	1030	3
683199	1119	1
683200	121	1
683200	1145	1
683060	108	1
683060	110	1
683060	1087	1
683060	1042	1
683060	1127	1
683062	135	1
683062	1038	1
683064	136	2
683064	1040	2
683268	1151	1
683268	1126	1
683268	1034	1
683268	10070	1
683268	10261	1
683268	10276	1
683268	10335	1
683268	10072	1
683268	10483	1
683268	10060	1
683268	10108	1
683268	10403	1
683268	10489	1
683270	116	1
683271	105	1
683271	10284	1
683272	103	1
683272	10031	1
683273	1132	1
683273	1005	3
683274	112	1
683274	10433	1
683276	1002	1
683278	105	1
683278	110	1
683278	1023	1
683278	10318	1
683280	1104	1
683280	10435	1
683280	10019	1
683281	105	1
683281	1019	3
683281	10127	1
683283	115	1
683283	1143	1
683283	1021	1
683283	1053	1
683283	1110	2
683283	1157	2
683283	10277	2
683411	133	3
683411	117	1
683411	1043	1
683411	1025	3
683411	1046	1
683412	115	1
683412	103	1
683412	1021	1
683412	1130	1
683412	1135	1
683412	10179	1
683412	10450	1
683412	10092	1
683413	122	1
683413	1047	1
683413	1007	1
683414	115	1
683414	1157	3
683414	1161	2
683414	1092	1
683414	1130	2
683414	1108	3
683414	10088	2
683414	10246	3
683414	10203	2
683414	10377	2
683414	10176	2
683414	10111	3
683414	10320	2
683414	10029	3
683415	121	1
683415	1020	1
683583	1027	1
683584	134	1
683584	115	1
683584	1164	1
683584	1057	1
683584	1142	1
683584	1028	1
683381	1069	1
683381	1106	1
683381	1007	2
683381	1168	1
683381	1172	1
683381	1063	2
683381	1043	2
683381	1153	2
683381	1003	1
683381	1044	1
683381	1027	1
683382	135	1
683382	1088	1
683383	121	1
683383	1145	1
683385	124	3
683385	1020	1
683386	113	1
683386	1011	1
683386	1037	1
683387	118	3
683388	122	1
683388	117	1
683388	1030	1
683388	1172	1
683388	1033	1
683389	123	1
683389	10316	3
683389	10274	1
683390	1023	1
683390	10167	1
683391	1145	1
683392	1145	1
683393	104	1
683393	1141	1
683393	10427	1
683394	1103	1
683394	10329	1
683395	127	1
683077	1071	1
683077	1110	1
683077	10375	1
683077	10371	2
683077	10246	1
683077	10006	1
683077	10179	1
683077	10116	1
683078	113	1
683078	1011	1
683079	1132	1
683080	121	1
683081	116	1
683081	1139	1
683084	112	1
683084	102	1
683084	1023	1
683084	1104	1
683084	10389	1
683084	10236	1
683084	10079	1
683264	122	1
683264	118	1
683264	1088	1
683264	1022	1
683264	1009	1
683265	105	1
683265	10489	1
683265	10129	1
683268	128	1
683268	115	1
683268	105	1
683268	1019	1
683268	1026	1
683283	10116	1
683283	10371	2
683283	10179	1
683283	10246	2
683283	10226	1
683283	10088	2
683283	10005	2
683284	114	1
683289	101	1
683291	128	1
683291	1151	1
683291	1034	1
683291	10108	1
683291	10483	1
683292	110	1
683292	112	1
683292	105	1
683292	102	1
683292	126	1
683292	123	1
683292	1049	1
683292	1056	1
683292	1094	1
683292	1042	1
683292	1144	1
683292	1010	1
683292	1121	1
683292	10327	1
683292	10228	1
683292	10275	1
683292	10283	1
683292	10013	1
683292	10003	1
683292	10213	1
683292	10186	1
683292	10324	1
683292	10387	1
683292	10204	1
683292	10218	1
683292	10306	1
683292	10035	1
683292	10036	1
683292	10305	1
683292	10099	1
683584	10471	2
683584	10315	1
683584	10293	1
683584	10138	1
683584	10393	1
683584	10220	1
683584	10051	1
683584	10053	1
683584	10024	1
683584	10276	1
683584	10441	1
683584	10268	1
683585	122	1
683586	114	1
683586	1027	1
683586	1147	1
683586	1052	3
683587	105	1
683587	10284	1
683587	10314	1
683588	124	1
683588	1058	1
683590	117	1
683590	1027	1
683593	135	1
683593	1088	1
683595	104	1
683595	123	1
683595	1073	1
683595	1094	1
683595	10164	1
683595	10348	1
683595	10304	1
683596	104	1
683596	1162	1
683596	10105	1
683596	10209	2
683596	10399	1
683600	104	1
683600	10209	1
683569	1135	1
683569	1015	1
683569	1143	2
683569	10417	1
683569	10458	1
683569	10352	2
683569	10120	1
683569	10059	3
683569	10340	1
683570	120	1
683570	1107	1
683570	1091	1
683570	1172	2
683572	122	1
683572	1147	1
683574	113	2
683574	1133	2
683575	135	1
683575	113	1
683575	1122	1
683575	1133	1
683580	105	1
683580	1151	1
683064	10400	2
683064	10385	2
683064	10076	3
683065	122	1
683066	105	2
683066	104	1
683066	1061	1
683066	1073	1
683066	1151	2
683066	10331	2
683066	10359	2
683066	10124	1
683066	10070	2
683067	105	1
683067	1151	1
683067	10128	1
683068	125	1
683069	135	1
683070	127	1
683070	1105	1
683071	1125	1
683073	103	1
683073	1015	1
683073	1159	1
683073	10133	1
683073	10215	1
683074	114	1
683074	1052	3
683074	1039	3
683074	1147	1
683075	116	1
