element_global_id	usfs_ecoregion_2007_id	d_occurrence_status_id
833232	36	1
833232	85	1
833232	89	1
833232	90	1
833233	36	1
833233	84	1
833233	85	1
833233	89	1
833233	90	1
833233	93	1
833234	43	3
833234	46	1
833234	47	1
833234	48	1
833234	52	2
833234	144	3
833234	159	1
833234	160	1
833234	161	1
833234	176	2
833234	178	2
833234	62	2
833234	227	3
833234	228	2
833234	63	1
833234	231	1
833234	232	1
833234	233	1
833234	234	1
833234	235	1
833234	236	1
833234	237	1
833235	46	1
833235	48	1
833235	159	1
833235	161	1
833235	62	2
833235	227	2
833235	63	2
833235	231	2
833235	232	2
833237	46	1
833237	47	3
833237	48	1
833237	159	1
833237	160	3
833237	161	1
833237	63	1
833237	231	3
833237	232	1
833237	233	1
833237	234	1
833237	235	1
833237	236	1
833239	46	1
833239	47	1
833239	159	1
833239	160	1
833240	40	1
833240	41	1
833240	42	1
833240	118	1
833240	119	1
833240	125	1
833240	127	1
833240	128	1
833240	129	1
833240	130	1
833240	132	1
833240	133	1
833240	134	1
833240	135	1
833240	136	1
833240	137	1
833240	138	1
833240	140	1
833240	141	1
833240	142	1
833241	40	1
833241	41	1
833241	42	1
833241	124	1
833241	127	1
833241	128	1
833241	129	1
833241	130	1
833241	133	1
833241	134	1
833241	135	1
833241	137	1
833241	138	1
833241	140	1
833241	141	1
833241	142	1
833245	49	1
833245	50	1
833245	51	1
833245	52	1
833245	55	1
833245	56	1
833245	162	1
833245	163	1
833245	164	1
833245	165	1
833245	173	1
833245	174	1
833245	176	1
833245	199	3
833245	202	3
833245	203	3
833245	204	3
833245	205	1
833245	207	1
833245	208	1
833245	209	1
833245	210	2
833245	212	1
833245	215	1
833245	65	1
833245	240	1
833245	66	1
833245	244	1
833245	245	3
833245	247	2
833245	248	1
833245	249	2
833245	250	2
833245	67	1
833245	254	1
833245	70	1
833245	262	1
833245	265	2
833246	49	1
833246	52	1
833246	55	1
833246	56	1
833246	162	1
833246	176	1
833246	177	1
833246	199	1
833246	202	1
833246	203	1
833246	204	1
833246	205	1
833246	207	1
833246	208	1
833246	209	1
833246	215	1
833246	62	3
833246	229	3
833246	63	1
833246	234	3
833246	235	1
833246	237	1
833246	66	1
833246	244	1
833246	70	1
833246	262	1
833246	264	1
833246	265	1
833247	55	1
833247	56	1
833247	205	1
833247	207	1
833247	208	1
833247	209	2
833247	213	1
833247	214	1
833247	215	1
833247	62	1
833247	229	1
833247	63	1
833247	231	3
833247	234	1
833247	235	2
833247	237	1
833247	67	1
833247	256	1
833248	49	1
833248	53	1
833248	55	1
833248	56	1
833248	162	1
833248	179	1
833248	185	1
833248	199	1
833248	200	2
833248	202	1
833248	203	1
833248	204	1
833248	205	1
833248	207	1
833248	208	1
833248	209	1
833248	210	1
833248	211	2
833248	212	1
833248	213	1
833248	214	2
833248	215	1
833248	62	1
833248	229	1
833248	63	1
833248	235	1
833248	237	1
833248	66	1
833248	242	3
833248	243	1
833248	244	1
833248	245	1
833248	250	3
833248	67	1
833248	251	1
833248	252	3
833248	253	3
833248	254	1
833248	255	1
833248	256	1
833248	68	2
833248	260	2
833248	70	1
833248	262	1
833248	263	1
833248	264	1
833248	265	1
833249	49	1
833249	50	1
833249	51	1
833249	52	1
833249	55	1
833249	56	1
833249	162	1
833249	163	1
833249	164	1
833249	165	1
833249	173	1
833249	174	1
833249	176	1
833249	199	1
833249	200	1
833249	201	1
833249	204	2
833249	210	2
833249	212	1
833249	65	1
833249	240	1
833249	241	1
833249	66	1
833249	244	1
833249	245	1
833249	247	1
833249	248	1
833249	249	1
833249	70	1
833249	263	1
833249	264	1
833251	50	1
833251	51	2
833251	53	1
833251	166	1
833251	167	1
833251	173	1
833251	174	2
833251	180	1
833251	181	3
833251	187	1
833251	188	1
833251	65	1
833251	241	1
833251	66	1
833251	246	1
833251	247	1
833252	49	1
833252	50	1
833252	51	1
833252	52	1
833252	53	1
833252	163	1
833252	166	1
833252	167	1
833252	173	1
833252	174	1
833252	177	1
833252	180	1
833252	186	2
833252	187	1
833252	188	1
833252	65	1
833252	241	1
833252	66	1
833252	246	1
833252	247	1
833252	248	1
833252	249	1
833254	48	1
833254	161	1
833254	62	1
833254	227	1
833254	228	1
833254	229	1
833254	63	1
833254	231	1
833254	232	1
833254	233	1
833254	234	1
833256	48	1
833256	161	1
833256	62	2
833256	227	2
833256	63	1
833256	231	2
833256	232	1
833258	43	1
833258	56	3
833258	143	1
833258	144	1
833258	214	3
833258	62	1
833258	227	1
833258	228	1
833258	229	1
833258	230	1
833258	63	1
833258	231	1
833258	234	1
833261	43	1
833261	56	2
833261	143	1
833261	144	1
833261	214	2
833261	62	1
833261	227	1
833261	228	1
833261	229	1
833261	230	1
833261	63	1
833261	231	1
833262	43	1
833262	56	2
833262	143	1
833262	214	2
833262	62	1
833262	227	1
833262	228	1
833262	229	1
833262	230	1
833264	52	3
833264	55	1
833264	56	3
833264	176	3
833264	202	1
833264	204	1
833264	207	3
833264	62	1
833264	228	1
833264	229	1
833264	63	1
833264	231	1
833264	234	1
833264	235	1
833264	237	1
833266	43	3
833266	143	3
833266	62	1
833266	227	1
833266	228	1
833266	229	1
833266	230	1
833266	63	1
833266	231	1
833266	234	3
833266	237	3
833271	39	1
833271	40	1
833271	42	1
833271	111	1
833271	112	1
833271	113	1
833271	114	1
833271	115	1
833271	120	1
833271	122	1
833271	123	1
833271	138	1
833271	141	1
833271	142	1
833271	60	1
833271	225	1
833271	61	1
833271	226	1
833277	35	1
833277	36	1
833277	37	1
833277	38	1
833277	73	2
833277	74	1
833277	75	1
833277	76	1
833277	77	1
833277	81	2
833277	82	1
833277	295	1
833277	296	1
833277	297	1
833277	298	1
833277	299	1
833277	300	1
833277	301	1
833277	302	1
833277	303	1
833277	304	1
833277	305	1
833277	306	1
833277	307	1
833277	83	1
833277	308	1
833277	309	1
833277	310	1
833277	84	1
833277	311	1
833277	312	1
833277	85	1
833277	313	1
833277	314	1
833277	315	1
833277	316	1
833277	317	1
833277	86	1
833277	318	1
833277	319	1
833277	87	1
833277	320	1
833277	321	1
833277	322	1
833277	323	1
833277	88	1
833277	324	1
833277	325	1
833277	326	1
833277	327	1
833277	89	1
833277	328	1
833277	329	1
833277	330	1
833277	331	1
833277	332	1
833277	90	1
833277	333	1
833277	334	1
833277	335	1
833277	336	1
833277	91	1
833277	337	1
833277	338	1
833277	339	1
833277	340	1
833277	341	1
833277	92	1
833277	342	1
833277	343	1
833277	344	1
833277	345	1
833277	346	1
833277	347	1
833277	93	1
833277	349	1
833277	94	1
833277	350	1
833277	351	1
833277	352	1
