element_global_id	simglobal_id	simnote	simelcode	simname	simusstatus	simlevelid
899716	899718	is found in shallower water and has few or no submergent and floating-leaved aquatic species.	A3666	<i>Schoenoplectus tabernaemontani - Bolboschoenus fluviatilis - Typha</i> spp. Shallow Marsh Alliance	C	46
899718	899716	occurs in deeper water and has more cover by floating-leaved and submergent aquatic species.	A3664	<i>Schoenoplectus acutus - Bolboschoenus fluviatilis - Schoenoplectus tabernaemontani</i> Marsh Alliance	C	46
899230	899534	occurs further south but can be similar floristically.	A3410	<i>Colocasia esculenta - Ludwigia grandiflora ssp. hexapetala</i> Ruderal Marsh Alliance	C	46
899133	899132	occurs in similar habitat and can have similar floristic makeup but is not dominated by <i>Juncus militaris</i>.	A1429	<i>Eleocharis</i> spp. - <i>Eriocaulon aquaticum</i> Coastal Plain Pondshore Marsh Alliance	C	46
899719	899718	can intergrade but stands are dominated by <i>Schoenoplectus</i> spp. and <i>Typha</i> spp. rather than <i>Eleocharis</i> spp.	A3666	<i>Schoenoplectus tabernaemontani - Bolboschoenus fluviatilis - Typha</i> spp. Shallow Marsh Alliance	C	46
899934	899935		A3884	<i>Eriogonum fasciculatum - Salvia apiana</i> Xeric Scrub Alliance	C	46
899765	899448	contains similar associations, especially CEGL005181 and CEGL002140.	A3324	<i>Quercus alba - Quercus macrocarpa - Quercus bicolor</i> Woodland Alliance	C	46
899762	899546		A3423	<i>Populus deltoides</i> Floodplain Forest Alliance	C	46
934751	899546	is typically dominated by <i>Populus deltoides</i> but intermediate stands can have both <i>Populus deltoides</i> and <i>Fraxinus pennsylvanica</i>; it is flooded more frequently with scouring/dep	A3423	<i>Populus deltoides</i> Floodplain Forest Alliance	C	46
934751	899335	is found in mesic draws and ravines in the northern Great Plains and can be very similar; the understory has more upland species and sites are rarely, if ever, flooded.	A3211	<i>Fraxinus pennsylvanica - Ulmus americana</i> Great Plains Forest Alliance	C	46
899007	899546	has a more closed canopy and tends to have fewer prairie grasses in the understory, though the alliances can be very similar.	A3423	<i>Populus deltoides</i> Floodplain Forest Alliance	C	46
899546	899007	has a more open tree canopy and tends to have more prairie grasses in the understory but the two alliances can be very similar.	A0636	<i>Populus deltoides</i> Floodplain Woodland Alliance	C	46
899333	899588	deciduous-dominated stands can be very similar but usually have <i>Pinus ponderosa</i> as a codominant canopy or subcanopy component.	A3465	<i>Pinus ponderosa</i> Mesic Black Hills Forest Alliance	C	46
899333	866437	can be very similar in the Black Hills where both occur; A3209 tends to be at lower elevations but there is likely overlap and good differential species are not known.	A2036	<i>Populus tremuloides</i> Rocky Mountain Forest &amp; Woodland Alliance	C	46
899333	899372	can be very similar to <i>Betula papyrifera</i>-dominated stands in parts of North Dakota where the distribution of the two alliances are similar.	A3248	<i>Betula papyrifera / Corylus cornuta</i> Woodland Alliance	C	46
899334	899335	Most stands of this alliance are quite distinct from A3210 but intermediate stands with a mix of <i>Juniperus</i> spp. and deciduous trees can be difficult to classify.	A3211	<i>Fraxinus pennsylvanica - Ulmus americana</i> Great Plains Forest Alliance	C	46
